edad,sexo,alfabeto,sistema_salud,nivel_educativo,ocupacion_jerarquia,ingreso
52,0,0,1,6,2,25000
43,0,0,1,2,2,23000
50,1,0,5,3,2,3800
22,1,0,5,4,2,8000
44,0,0,5,3,2,18000
46,0,0,6,6,3,45000
50,0,0,5,4,3,45000
52,0,0,1,1,2,2500
28,0,0,1,5,2,7000
36,1,0,3,5,2,20000
35,0,0,1,3,2,20000
30,1,0,5,6,2,10000
39,0,0,1,4,3,30000
74,0,0,5,6,2,30000
50,0,0,1,2,2,14000
59,0,0,1,2,2,12000
50,0,0,5,5,3,30000
40,0,0,5,4,2,15000
22,0,0,1,3,2,6000
40,1,0,1,6,2,4000
62,1,0,5,4,2,9000
49,1,0,1,4,2,4000
34,0,0,1,3,2,7000
30,0,0,3,3,2,20000
41,0,0,1,2,2,8000
26,1,0,1,2,2,4000
46,1,0,5,2,2,20000
71,1,0,5,1,2,600
21,0,0,1,4,2,4000
16,0,0,5,3,2,500
63,1,0,5,4,2,2500
42,1,0,5,6,2,25000
54,1,0,5,2,2,4000
53,0,0,1,2,2,15000
64,0,0,5,2,2,15000
40,1,0,1,3,2,10000
35,1,0,1,3,2,1500
33,0,0,1,3,2,10000
47,1,0,5,6,2,5000
49,0,0,1,5,3,10000
28,0,0,1,1,2,8000
32,0,0,1,3,2,8000
28,0,0,1,4,2,2000
36,1,0,5,5,2,3000
31,1,0,2,5,2,1000
65,0,0,5,4,2,2500
71,0,0,5,6,2,25000
25,0,0,3,5,2,28000
59,0,0,1,1,2,9000
59,0,0,1,2,2,3000
70,0,0,5,3,2,9000
33,0,0,1,3,2,14000
27,1,0,5,5,2,10000
60,0,0,1,2,2,5000
54,0,0,1,4,2,10000
56,0,0,1,4,0,5000
64,0,0,5,2,2,18000
50,1,0,5,6,2,50000
43,0,0,3,4,2,20000
56,1,0,5,3,2,8000
50,1,0,1,1,2,6000
39,1,0,5,6,3,20000
44,0,0,1,3,2,10000
51,1,0,1,4,2,4000
34,0,0,5,5,3,20000
78,0,0,5,2,2,1000
28,1,0,5,6,2,10000
30,1,0,1,4,2,4000
38,0,0,1,4,2,20000
42,0,0,3,6,2,15000
30,0,0,5,4,2,20000
43,1,0,5,6,2,40000
51,0,0,6,4,2,16000
26,0,0,1,3,2,5000
59,0,0,5,6,2,25000
24,1,0,1,4,2,15000
47,0,0,3,4,2,13000
37,0,0,3,2,2,15000
52,1,0,5,1,2,3000
20,0,0,1,2,3,2500
30,0,0,1,6,2,20000
38,0,1,1,0,2,4000
52,1,0,5,3,2,7000
63,0,0,5,4,2,20000
29,0,0,1,4,2,6000
30,0,0,1,2,2,1000
53,1,0,5,2,2,3000
18,1,0,5,5,2,3000
51,1,0,1,2,2,12000
69,1,0,5,1,2,1000
54,0,0,1,4,2,28000
37,0,0,1,6,2,26000
23,1,0,2,4,2,4000
58,0,0,1,3,2,3000
63,0,0,5,1,2,3000
48,0,0,1,4,3,12000
29,1,0,5,6,2,1800
37,0,0,1,1,2,1500
26,0,0,1,3,2,5000
56,1,0,1,3,2,6000
29,0,0,1,5,2,10000
46,0,0,1,4,2,15000
41,1,0,1,4,3,10000
43,0,0,1,3,2,12000
55,1,0,3,6,2,10000
20,1,0,1,4,2,5000
68,0,0,5,2,2,300
66,0,0,1,1,2,1500
58,1,0,5,2,2,18000
37,0,0,1,6,2,6000
18,0,0,1,3,2,500
37,1,0,1,3,2,4000
37,0,0,5,4,2,15000
51,0,0,1,1,2,23000
51,1,0,5,5,2,15000
38,0,0,5,4,2,30000
34,0,0,1,2,2,16000
39,0,0,1,4,2,12000
27,1,0,1,3,2,1000
26,0,0,1,1,2,4000
61,0,0,5,4,2,12000
32,0,0,5,4,2,5000
38,1,0,1,4,2,3000
30,1,0,1,4,2,8000
42,0,0,1,4,2,6000
39,1,0,5,5,2,6000
48,0,0,1,4,2,16000
19,0,0,1,3,2,1200
57,0,0,5,3,2,6000
27,1,0,1,2,2,2000
45,0,0,5,6,2,30000
